Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
B2925,Rail over Road near Windemere,Bridge,Bridge,11/20/2019,TR00901,3.99,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,06. Abutments, 103. Clean concrete surface,BU,130,160,m2,20800,3,4,4,19,2
B2925,Rail over Road near Windemere,Bridge,Bridge,11/20/2019,TR00901,3.99,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,04. Approach Embankment Protection Works, 159. Stone pitching,U1,10,1010,m2,10100,3,4,9,89,1
B2925,Rail over Road near Windemere,Bridge,Bridge,11/20/2019,TR00901,3.99,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,04. Approach Embankment Protection Works, 155. Earth backfill,U1,5,670,m3,3350,3,4,9,269,1
B2925,Rail over Road near Windemere,Bridge,Bridge,11/20/2019,TR00901,3.99,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,12. Pier Protection Works, 953. Ad-hoc item (describe under Remarks),P3,1,1140,No,1140,3,4,9,789,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,15. Bearings," 253. Refurbish (corrosion protection, anchor bolts, etc)","BU,AP",20,4910,No,98200,3,4,9,9,3
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,06. Abutments, 108. Cut back reinforcement (tie rods) and make good,U1,2,240,No,480,3,4,1,208,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,20. Decks and Slabs, 120. Seal cracks,AS,20,790,m,15800,3,4,9,57,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S2,5,790,L,3950,3,4,9,228,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,20. Decks and Slabs, 108. Cut back reinforcement (tie rods) and make good,S2,2,240,No,480,3,4,9,1875,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,18. Longitudinal Members, 953. Ad-hoc item (describe under Remarks),AS,600,1140,No,684000,3,4,9,1,3
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,18. Longitudinal Members," 123. Strengthening (using plates, carbon fibre, etc)",S2,1,64930,m2,64930,3,4,9,14,2
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,18. Longitudinal Members, 101. Apply protective coating,AS,600,510,m2,306000,3,4,9,3,3
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,BU,25,360,m,9000,3,4,4,44,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P3,3,790,L,2370,3,4,1,42,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,14. Piers & Columns, 108. Cut back reinforcement (tie rods) and make good,P3,3,240,No,720,3,4,1,139,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,12. Pier Protection Works, 953. Ad-hoc item (describe under Remarks),P3,2,1140,No,2280,2,4,1,44,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,04. Approach Embankment Protection Works, 155. Earth backfill,U2,2,670,m3,1340,3,4,4,299,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),BU,10,790,L,7900,3,4,1,13,2
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,11. Parapet, 453. Install full height pedestrian balustrade,AS,200,3280,m,656000,3,4,9,1,3
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,06. Abutments, 103. Clean concrete surface,U1,10,160,m2,1600,3,4,1,62,1
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,04. Approach Embankment Protection Works, 159. Stone pitching,U1,20,1010,m2,20200,3,4,4,20,2
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,14. Piers & Columns, 120. Seal cracks,P3,2,790,m,1580,3,4,1,63,1
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,S6,4,3280,No,13120,2,4,4,30,1
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5700,No,11400,3,4,4,35,1
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,20. Decks and Slabs, 120. Seal cracks,"S5,S6",20,790,m,15800,2,4,9,57,1
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S2-S4,20,790,L,15800,2,4,9,57,1
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,P1,P2,P4,P5",70,6540,m,457800,2,4,4,1,3
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,17. Expansion Joints, 302. Joint cover plates (replace and refit),"BU,AP",14,4060,No,56840,2,4,4,7,3
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,14. Piers & Columns, 953. Ad-hoc item (describe under Remarks),P4,1,1140,No,1140,2,4,0,0,2
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,11. Parapet, 454. New endblocks,"S1,S6",4,16260,No,65040,3,4,9,14,2
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,08. Surfacing, 502. Resurface or patch,BU,500,790,m2,395000,2,4,9,2,3
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BU,4,3280,No,13120,3,4,9,69,1
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,11. Parapet, 953. Ad-hoc item (describe under Remarks),AS,40,1140,No,45600,2,4,9,20,2
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,14. Piers & Columns, 120. Seal cracks,P4,2,790,m,1580,2,4,4,253,1
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,11. Parapet, 101. Apply protective coating,AS,350,510,m2,178500,2,4,9,5,3
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,20. Decks and Slabs, 120. Seal cracks,"S3,S4",5,790,m,3950,2,4,9,228,1
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S2-S4,40,790,L,31600,2,4,9,28,1
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5700,No,11400,3,4,9,79,1
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S3-S5,20,790,L,15800,2,4,9,57,1
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,08. Surfacing, 502. Resurface or patch,BU,500,790,m2,395000,3,4,9,2,3
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P4,5,790,L,3950,2,4,4,101,1
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,11. Parapet, 953. Ad-hoc item (describe under Remarks),AS,40,1140,No,45600,2,4,9,20,2
B2928,"KROMME RIVER
",Bridge,Bridge,11/13/2019,MR00027,35.14,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,10. Kerbs / Sidewalks, 357. Replace kerbs or berms,U2,20,1010,m,20200,3,4,1,5,3
B2928,"KROMME RIVER
",Bridge,Bridge,11/13/2019,MR00027,35.14,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,BU,130,6540,m,850200,3,4,4,0,3
B2928,"KROMME RIVER
",Bridge,Bridge,11/13/2019,MR00027,35.14,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,18. Longitudinal Members," 123. Strengthening (using plates, carbon fibre, etc)",AS,25,64930,m2,1623250,4,4,16,1,3
B2928,"KROMME RIVER
",Bridge,Bridge,11/13/2019,MR00027,35.14,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S2,100,790,L,79000,3,4,1,1,3
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,Paarl,Cape Winelands,6/30/2022,06. Abutments, 120. Seal cracks,BU,10,790,m,7900,3,4,9,114,1
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,Paarl,Cape Winelands,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),S1,50,790,L,39500,1,1,1,3,3
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,Paarl,Cape Winelands,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,BU,24,6540,m,156960,1,1,4,3,3
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,Paarl,Cape Winelands,6/30/2022,11. Parapet, 458. New/repair steel railing,S1,200,3280,m,656000,1,1,1,0,3
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,Paarl,Cape Winelands,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,30,790,m,23700,3,4,9,38,1
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,Paarl,Cape Winelands,6/30/2022,06. Abutments, 101. Apply protective coating,BU,150,510,m2,76500,1,1,9,12,2
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,Paarl,Cape Winelands,6/30/2022,10. Kerbs / Sidewalks," 614. Repair sidewalk surface (blocks, screed etc)",S1,25,790,m2,19750,1,1,1,5,3
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,40,1010,m,40400,1,1,4,10,3
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,21. Miscellaneous Items, 613. Repair service hangers (lighting etc),S5,1,6540,No,0,0,0,4,9999999,1
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),"S2,S6",10,790,L,7900,3,4,1,13,2
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,15. Bearings," 258. Service bearing (clear obstructions, etc)",P4,1,8090,No,8090,1,1,1,12,2
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,19. Transverse Members, 118. Repair spall (including honeycombing),S1,5,790,L,3950,2,3,1,25,1
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,14. Piers & Columns, 108. Cut back reinforcement (tie rods) and make good,AP,20,240,No,4800,2,3,1,21,1
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,02. Guardrail, 466. Replace bolts and washers,BA,20,360,No,7200,1,1,4,56,1
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),"P2,P4",10,790,L,7900,2,3,1,13,2
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S5,5,790,L,3950,2,3,4,101,1
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,11. Parapet, 102. Apply silanes,S1,100,510,m2,51000,3,4,1,2,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,19. Transverse Members, 118. Repair spall (including honeycombing),S1,100,790,L,79000,3,4,4,5,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,BU,40,6540,m,261600,3,4,4,2,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,11. Parapet, 101. Apply protective coating,S1,100,510,m2,51000,3,4,1,2,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,10. Kerbs / Sidewalks, 357. Replace kerbs or berms,BU,200,1010,m,202000,3,4,4,2,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,09. Superstructure Drainage, 206. Clear channel,S1,200,160,m,32000,3,4,4,12,2
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,07. Wing/ Retaining Walls, 102. Apply silanes,BU,250,510,m2,127500,3,4,1,1,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,07. Wing/ Retaining Walls, 101. Apply protective coating,BU,250,510,m2,127500,3,4,1,1,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",BU,100,670,m,67000,3,4,1,1,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,06. Abutments, 102. Apply silanes,U1,120,510,m2,61200,3,4,1,2,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,06. Abutments, 101. Apply protective coating,U2,120,510,m2,61200,3,4,1,2,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),S1,1000,790,L,790000,3,4,4,1,3
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,08. Surfacing, 502. Resurface or patch,BU,500,790,m2,395000,3,4,1,0,3
B2963A,Diep River at Malmesbury,Bridge,Bridge,11/18/2019,MR00174,3,Swartland,Malmesbury,West Coast,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,40,790,L,31600,3,4,4,13,2
B2963A,Diep River at Malmesbury,Bridge,Bridge,11/18/2019,MR00174,3,Swartland,Malmesbury,West Coast,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),AS,250,790,L,197500,4,4,9,5,3
B2963A,Diep River at Malmesbury,Bridge,Bridge,11/18/2019,MR00174,3,Swartland,Malmesbury,West Coast,6/30/2022,15. Bearings, 256. Replace - mechanical,"BU,AP",70,8090,No,566300,4,4,16,3,3
B2963A,Diep River at Malmesbury,Bridge,Bridge,11/18/2019,MR00174,3,Swartland,Malmesbury,West Coast,6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),AS,200,790,L,158000,2,4,1,1,3
B2963A,Diep River at Malmesbury,Bridge,Bridge,11/18/2019,MR00174,3,Swartland,Malmesbury,West Coast,6/30/2022,17. Expansion Joints, 304. New 40mm claw,"BU,AP",60,16260,m,975600,3,4,9,1,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,17. Expansion Joints, 302. Joint cover plates (replace and refit),"BU,AP",16,4060,No,64960,3,4,1,2,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,21. Miscellaneous Items, 570. Replace cover plates on street lights,BU,8,1660,No,13280,3,4,1,8,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S4-S7,200,790,L,158000,3,4,1,1,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,19. Transverse Members, 118. Repair spall (including honeycombing),S2-S7,100,790,L,79000,1,1,1,1,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,06. Abutments, 953. Ad-hoc item (describe under Remarks),BU,300,1140,No,342000,3,4,4,1,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,18. Longitudinal Members, 953. Ad-hoc item (describe under Remarks),"S1,S2",1,1140,No,1140,3,4,4,351,1
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),S7,20,790,L,15800,3,4,4,25,1
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,14. Piers & Columns, 120. Seal cracks,P2-P6,100,790,m,79000,3,4,16,20,2
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P2-P6,500,790,L,395000,3,4,16,4,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,100,3280,m,328000,3,4,1,0,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,10. Kerbs / Sidewalks," 614. Repair sidewalk surface (blocks, screed etc)",S7,6,790,m2,4740,3,4,1,21,1
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,01. Approach Embankment, 158. Rock backfill,U1,25,2930,m3,73250,3,4,4,5,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BU,AP",90,360,m,32400,3,4,1,3,3
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S7,100,790,L,79000,3,4,1,1,3
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BU,8,3280,No,26240,4,4,1,4,3
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S1,2,790,L,1580,2,4,1,63,1
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U2,12,790,m,9480,3,4,9,95,1
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,02. Guardrail, 466. Replace bolts and washers,U1,4,360,No,1440,4,4,1,69,1
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,01. Approach Embankment, 155. Earth backfill,U1,2,670,m3,1340,3,4,4,299,1
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,06. Abutments, 102. Apply silanes,BU,125,510,m2,63750,2,4,4,6,3
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,05. Waterway, 207. Clear debris,AC,80,790,m3,63200,1,1,4,6,3
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,11. Top Slab, 120. Seal cracks,AC,100,790,m,79000,2,4,9,11,2
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),AC,100,790,L,79000,3,4,9,11,2
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,11. Top Slab, 108. Cut back reinforcement (tie rods) and make good,AC,20,240,No,4800,3,4,9,188,1
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,E1,1,5700,No,5700,2,4,1,18,2
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,10. Walls, 120. Seal cracks,AC,50,790,m,39500,3,4,9,23,1
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,04. Embankment/s, 157. Mass concrete backfill,E1,20,5820,m3,116400,3,4,1,1,3
